missing_reference,count
Application number: 32460/13,1
Application number: 29545/19,1
Application number: 27483/19,1
Application number: 27547/19,1
Application number: 16857/19,1
Application number: 77825/11,1
Application number: 12120/20,1
Application number: 77837/11,1
"Tănase v. Moldova [GC], no. 7/08, §§ 104-105, ECHR 2010",1
Application number: 42/20,1
Application number: 74360/12,1
Application number: 78119/14,1
Application number: 11367/06,1
Application number: 38178/08,1
Application number: 8098/18,1
Application number: 8384/18,1
Application number: 8147/18,1
"Süßmann v. Germany, 16 September 1996, §§ 55-56, Reports of Judgments and Decisions 1996 IV",1
Application number: 35033/18,1
Application number: 34179/18,1
Application number: 43277/20,1
Application number: 49994/20,1
Application number: 51079/20,1
Application number: 50514/20,1
Application number: 54383/20,1
Application number: 29570/19,1
Application number: 27551/19,1
Application number: 511/12,1
Application number: 42204/14,1
Application number: 40841/13,1
Application number: 78728/11,1
Application number: 21424/14,1
Application number: 32161/14,1
Application number: 2001/19,1
Application number: 51084/14,1
Application number: 32778/14,1
Application number: 33729/14,1
Application number: 27509/19,1
Application number: 29894/19,1
Application number: 32024/14,1
Application number: 33719/14,1
Application number: 42200/14,1
"Vereniging Weekblad Bluf! v. the Netherlands, 9 February 1995, § 45, Series A no 306 A",1
Application number: 27409/19,1
Application number: 77834/11,1
Application number: 77829/11,1
"Levages Prestations Services v. France, 23 October 1996, § 46, Reports of Judgments and Decisions 1996 V",1
"König v. Germany, 28 June 1978, § 96, Series A no. 27",1
Application number: 3517/76,1
"James and Others v. the United Kingdom, 21 February 1986, § 37, Series A, no. 98",1
Application number: 53922/15,1
Application number: 43067/13,1
Application number: 39726/18,1
Application number: 17029/05,1
Application number: 39107/18,1
Application number: 17348/18,1
Application number: 45016/18,1
Application number: 29656/07,1
Application number: 8585/13,1
Application number: 776/00,1
Application number: 77888/11,1
Application number: 26960/19,1
Application number: 78066/11,1
Application number: 78283/11,1
Application number: 27387/19,1
Application number: 8236/17,1
Application number: 102/94,1
Application number: 1904/14,1
Application number: 1163/12,1
Application number: 3/98,1
"Neves e Silva v. Portugal, 27 April 1989, § 37, Series A no. 153 A",1
Application number: 452/16,1
Application number: 510/13,1
Application number: 685/15,1
Application number: 272/19,1
Application number: 17/98,1
Application number: 456/13,1
Application number: 205/15,1
Application number: 1233/13,1
Application number: 506/04,1
Application number: 503/15,1
Application number: 896/19,1
Application number: 403/16,1
"Guerra and Others v. Italy, § 60, 19 February 1998, Reports of Judgments and Decisions 1998 I",1
"Lithgow and Others v. the United Kingdom, 8 July 1986, Series A no. 102, p. 47",1
"Hentrich v. France, 22 September 1994, Series A no. 296 A, pp. 19-20",1
Application number: 77827/11,1
Application number: 27605/19,1
Application number: 27602/19,1
Application number: 92/11,1
Application number: 26485/19,1
Application number: 78764/11,1
Application number: 27616/19,1
Application number: 55962/12,1
Application number: 513/12,1
Application number: 10400/17,1
Application number: 512/12,1
Application number: 77828/11,1
Application number: 27613/19,1
Application number: 32467/13,1
Application number: 64/15,1
Application number: 77832/11,1
"Chahal v. the United Kingdom, judgment of 15 November 1996, § 79, Reports 1996 V",1
Application number: 27370/19,1
"Hurtado v. Switzerland, 28 January 1994, Commission report, § 67, Series A no. 280",1
"Teixeira de Castro v. Portugal, 9 June 1998, § 34, Reports, 1998-IV",1
Application number: 78229/11,1
Application number: 26026/19,1
Application number: 27405/19,1
Application number: 28628/19,1
Application number: 32468/13,1
Application number: 77746/11,1
Application number: 78310/11,1
Application number: 77826/11,1
Application number: 77989/11,1
Application number: 29911/19,1
Application number: 77833/11,1
Application number: 27589/19,1
Application number: 32466/13,1
Application number: 27499/19,1
Application number: 509/12,1
Application number: 788/09,1
Application number: 27463/19,1
Application number: 3361/16,1
Application number: 9113/17,1
Application number: 77835/11,1
Application number: 27937/21,1
Application number: 32893/21,1
Application number: 61989/16,1
Application number: 10822/19,1
Application number: 34105/20,1
Application number: 35465/20,1
Application number: 29199/20,1
Application number: 83078/17,1
Application number: 33652/20,1
Application number: 36370/20,1
Application number: 37125/20,1
Application number: 37054/20,1
Application number: 33443/20,1
Application number: 5890/19,1
Application number: 23920/19,1
Application number: 35183/19,1
Application number: 11783/19,1
Application number: 7083/19,1
Application number: 5886/19,1
Application number: 5800/19,1
Application number: 30580/19,1
Application number: 15009/19,1
Application number: 56657/19,1
Application number: 56358/19,1
Application number: 54493/19,1
"Halford v. the United Kingdom, 25 June 1997, § 44, Reports of Judgments and Decisions 1997 III",1
Application number: 51160/03,1
Application number: 1/19,1
Application number: 63/19,1
Application number: 172/14,1
Application number: 55438/20,1
Application number: 4581/20,1
Application number: 51861/19,1
Application number: 50711/19,1
Application number: 56740/19,1
Application number: 54916/19,1
Application number: 77647/17,1
Application number: 56797/19,1
Application number: 55029/19,1
Application number: 12698/19,1
Application number: 56649/19,1
Application number: 583/19,1
Application number: 37325/17,1
Application number: 38668/20,1
Application number: 11210/18,1
Application number: 31095/18,1
Application number: 57136/18,1
Application number: 55316/18,1
Application number: 35372/16,1
Application number: 35394/17,1
Application number: 17492/16,1
Application number: 38080/12,1
Application number: 47915/09,1
Application number: 18082/14,1
Application number: 78144/13,1
Application number: 9456/13,1
Application number: 1474/14,1
Application number: 2012/19,1
Application number: 19332/21,1
Application number: 33080/21,1
Application number: 19312/21,1
Application number: 40488/21,1
Application number: 35373/16,1
Application number: 56494/16,1
Application number: 55719/18,1
Application number: 6045/17,1
Application number: 30370/18,1
Application number: 8413/18,1
Application number: 6258/17,1
Application number: 9471/17,1
Application number: 12040/17,1
Application number: 60954/17,1
Application number: 11459/17,1
Application number: 3411/17,1
Application number: 35628/18,1
Application number: 48636/18,1
Application number: 27581/16,1
Application number: 54302/18,1
Application number: 52979/18,1
Application number: 53737/18,1
Application number: 37555/16,1
Application number: 44846/18,1
"Huvig v. France, 24 April 1990, §§ 8 and 25-26, Series A no. 176 B",1
"Niemietz v. Germany, 16 December 1992, § 32, Series A no. 251 B",1
"Steel and Others v. Royaume‑Uni, 23 September 1998, Reports 1998-VII",1
Application number: 34553/02,1
Application number: 45/96,1
Application number: 62848/17,1
Application number: 24773/15,1
Application number: 78/18,1
Application number: 55280/15,1
Application number: 76854/16,1
Application number: 15813/18,1
Application number: 61732/16,1
Application number: 33734/16,1
Application number: 52257/15,1
Application number: 32423/15,1
Application number: 15098/16,1
Application number: 57931/15,1
Application number: 59787/14,1
Application number: 64181/17,1
Application number: 39/96,1
Application number: 5941/16,1
Application number: 9076/17,1
Application number: 44403/15,1
Application number: 48/96,1
Application number: 69826/16,1
Application number: 37256/16,1
Application number: 34499/17,1
Application number: 22058/19,1
Application number: 32412/15,1
Application number: 41745/17,1
Application number: 7098/15,1
Application number: 37043/15,1
Application number: 55279/15,1
Application number: 49258/15,1
Application number: 28373/17,1
Application number: 21542/19,1
Application number: 51122/07,1
Application number: 66966/17,1
Application number: 19/29,1
Application number: 21903/05,1
Application number: 39070/11,1
"Air Canada v. the United Kingdom, 5 May 1995, § 34, Series A no. 316 A, § 34",1
Application number: 35816/16,1
Application number: 45973/14,1
Application number: 53429/16,1
Application number: 60569/17,1
Application number: 14980/16,1
Application number: 61699/16,1
Application number: 42351/15,1
Application number: 14338/14,1
Application number: 29482/17,1
Application number: 81560/17,1
Application number: 48431/14,1
Application number: 48049/16,1
Application number: 60400/15,1
Application number: 13474/15,1
Application number: 30131/17,1
Application number: 61504/11,1
Application number: 9247/15,1
Application number: 61504/10,1
Application number: 17632/19,1
Application number: 14070/15,1
Application number: 1786/16,1
Application number: 130/18,1
Application number: 19719/16,1
Application number: 25934/15,1
Application number: 3085/16,1
Application number: 81751/17,1
Application number: 69157/17,1
Application number: 10028/16,1
Application number: 59985/16,1
Application number: 26169/16,1
Application number: 54778/17,1
Application number: 16094/17,1
Application number: 53490/17,1
Application number: 27654/15,1
Application number: 4798/15,1
Application number: 26303/16,1
Application number: 55272/15,1
Application number: 60098/15,1
Application number: 14823/17,1
Application number: 9271/21,1
Application number: 37428/21,1
Application number: 25963/21,1
Application number: 6439/12,1
Application number: 24641/21,1
Application number: 19377/21,1
"W. v. the United Kingdom, 8 July 1987, §§ 64-65, Series A no. 121",1
Application number: 20546/14,1
Application number: 42180/14,1
Application number: 24405/14,1
Application number: 9546/12,1
Application number: 19954/15,1
Application number: 24683/13,1
Application number: 16702/90,1
Application number: 22747/93,1
Application number: 193/16,1
Application number: 398/16,1
Application number: 54115/15,1
"National & Provincial Building Society, Leeds Permanent Building Society and Yorkshire Building Society v. the United Kingdom, 23 October 1997, §§ 75 to 83, Reports of Judgments and Decisions 1997–VII",1
"Gasus Dosier- und Fördertechnik GmbH v. the Netherlands, 23 February 1995, Series A no. 306",1
Application number: 1940/15,1
Application number: 16280/14,1
Application number: 54315/14,1
Application number: 35923/21,1
Application number: 9867/06,1
Application number: 36648/21,1
Application number: 36788/21,1
Application number: 56574/21,1
Application number: 53320/21,1
Application number: 38930/21,1
Application number: 26835/21,1
Application number: 8286/19,1
Application number: 71475/17,1
Application number: 20479/21,1
Application number: 17701/21,1
Application number: 25960/21,1
Application number: 25066/10,1
Application number: 18920/21,1
Application number: 23804/10,1
Application number: 21982/21,1
Application number: 20985/21,1
Application number: 1515/12,1
Application number: 539/12,1
Application number: 48726/21,1
Application number: 36299/14,1
Application number: 9078/14,1
Application number: 36845/14,1
Application number: 36584/16,1
Application number: 27283/16,1
Application number: 24156/17,1
Application number: 52022/16,1
Application number: 18185/16,1
Application number: 54392/17,1
Application number: 23665/16,1
Application number: 5077/15,1
Application number: 23762/16,1
Application number: 8785/16,1
Application number: 11428/16,1
Application number: 36266/16,1
Application number: 19329/21,1
Application number: 24638/21,1
Application number: 42561/21,1
Application number: 24590/16,1
Application number: 28169/16,1
Application number: 18118/14,1
Application number: 18608/16,1
Application number: 17708/12,1
Application number: 38565/16,1
Application number: 32708/16,1
Application number: 10911/17,1
Application number: 23336/16,1
Application number: 27809/16,1
Application number: 20044/16,1
Application number: 38939/19,1
Application number: 61416/16,1
Application number: 10250/17,1
Application number: 18189/16,1
Application number: 43704/16,1
Application number: 31174/14,1
Application number: 15656/16,1
Application number: 9635/15,1
Application number: 28518/16,1
Application number: 37441/21,1
Application number: 51518/21,1
Application number: 53322/21,1
Application number: 38625/21,1
"Campbell and Fell v. the United Kingdom, 28 June 1984, § 127, Series A no. 80",1
Application number: 66646/10,1
Application number: 66656/10,1
Application number: 66625/10,1
Application number: 66650/10,1
"Otto Preminger Institut v. Austria, 20 September 1994, § 47, Series A no. 295 A",1
"Larissis and Others v. Greece, 24 February 1998, Reports 1998 I",1
"Efstratiou v. Greece, 18 December 1996, § 32, Reports 1996 VI",1
Application number: 39417/17,1
Application number: 2861/15,1
Application number: 3492/11,1
Application number: 15962/15,1
Application number: 76162/12,1
Application number: 24622/16,1
Application number: 3215/18,1
Application number: 79240/13,1
Application number: 17552/11,1
"Colozza v. Italy, 12 February 1985, § 32, Series A no. 89",1
Application number: 28399/09,1
Application number: 51135/09,1
Application number: 35473/20,1
Application number: 26821/21,1
Application number: 26978/21,1
"Lithgow and Others v. the United Kingdom, 8 July 1986, Series A no. 102",1
"Cooperativa Parco Cuma v. Italy, 27 February 1992, § 94, Series A no. 231 E",1
Application number: 61059/19,1
Application number: 33723/20,1
Application number: 14965/20,1
Application number: 17193/20,1
Application number: 180/14,1
Application number: 22482/20,1
Application number: 12505/20,1
Application number: 11711/20,1
Application number: 12722/20,1
Application number: 4420/20,1
Application number: 17033/20,1
Application number: 9886/11,1
Application number: 28108/14,1
Application number: 10188/17,1
Application number: 5547/12,1
Application number: 38868/16,1
Application number: 40477/13,1
Application number: 537/08,1
Application number: 116/03,1
Application number: 69341/11,1
"Tănase v. Moldova [GC], no 7/08, §§ 157-158, ECHR 2010",1
Application number: 8372/10,1
Application number: 75462/10,1
Application number: 41603/16,1
Application number: 09999/19,1
Application number: 79/17,1
Application number: 47047/16,1
Application number: 2426/17,1
Application number: 35804/16,1
Application number: 67062/16,1
Application number: 35741/16,1
Application number: 33687/21,1
Application number: 40447/13,1
Application number: 27968/05,1
Application number: 51171/16,1
Application number: 71428/12,1
Application number: 2269/12,1
Application number: 14821/11,1
Application number: 44285/10,1
Application number: 16578/15,1
Application number: 74387/13,1
Application number: 44386/19,1
Application number: 3488/11,1
"McCann and Others v. the United Kingdom, 27 September 1995, §§ 146-150 and 200, Series A no 324",1
Application number: 2066/15,1
Application number: 25382/12,1
Application number: 25074/09,1
"National Union of Belgian Police v. Belgium, 27 October 1975, § 39, Series A no. 19",1
Application number: 142/13,1
Application number: 1085/09,1
Application number: 13744/11,1
Application number: 7319/11,1
Application number: 77814/16,1
Application number: 11187/17,1
Application number: 66139/16,1
Application number: 217/13,1
Application number: 1612/21,1
Application number: 1011/21,1
Application number: 50819/19,1
Application number: 29930/16,1
Application number: 46313/20,1
Application number: 45019/20,1
Application number: 44541/20,1
Application number: 45545/20,1
Application number: 3964/21,1
Application number: 54032/20,1
Application number: 1606/21,1
Application number: 43378/20,1
Application number: 36529/20,1
Application number: 26736/20,1
Application number: 26742/20,1
Application number: 36523/20,1
Application number: 26738/20,1
Application number: 12093/21,1
Application number: 23351/16,1
Application number: 45066/20,1
Application number: 75286/13,1
Application number: 47262/20,1
Application number: 4587/20,1
"Stubbings and Others v. the United Kingdom, 22 October 1996, § 62, Reports of Judgments and Decisions 1996-IV",1
Application number: 57949/15,1
Application number: 79522/16,1
Application number: 394/00,1
Application number: 75292/13,1
Application number: 408/09,1
Application number: 3683/21,1
Application number: 75282/13,1
Application number: 46599/20,1
Application number: 63731/19,1
Application number: 72209/13,1
Application number: 418/06,1
Application number: 5079/21,1
Application number: 1041/21,1
Application number: 605/14,1
Application number: 506/16,1
Application number: 59245/15,1
Application number: 26777/20,1
Application number: 77309/16,1
Application number: 739/15,1
Application number: 41706/16,1
Application number: 37508/16,1
Application number: 3494/17,1
Application number: 52821/17,1
Application number: 38535/19,1
Application number: 16198/18,1
Application number: 491/18,1
Application number: 1204/13,1
Application number: 33666/17,1
Application number: 948/13,1
Application number: 33974/18,1
Application number: 13556/19,1
Application number: 1038/17,1
Application number: 1130/14,1
Application number: 66271/16,1
Application number: 75978/16,1
Application number: 67993/16,1
Application number: 59848/16,1
Application number: 10990/20,1
Application number: 32795/20,1
Application number: 25844/20,1
Application number: 25019/20,1
Application number: 22980/20,1
Application number: 25010/20,1
Application number: 22692/20,1
Application number: 16809/20,1
Application number: 49496/18,1
"Allan Jacobsson v. Sweden (no. 1), 25 October 1989, §§ 60 61, Series A no. 163",1
Application number: 49676/18,1
Application number: 49380/18,1
Application number: 49684/18,1
Application number: 47232/17,1
"The Holy Monasteries v. Greece, 9 December 1994, § 56, Series A no. 301 A",1
"Phocas v. France, 23 April 1996, § 60, Reports of Judgments and Decisions 1996‑II",1
"Katte Klitsche de la Grange v. Italy, 27 October 1994, § 46, Series A no. 293‑B",1
Application number: 35503/20,1
Application number: 46792/20,1
Application number: 32206/17,1
Application number: 7413/18,1
Application number: 19803/19,1
Application number: 39592/19,1
Application number: 3429/20,1
Application number: 5580/19,1
Application number: 22575/19,1
Application number: 58829/16,1
Application number: 47908/19,1
Application number: 32253/19,1
Application number: 13393/19,1
Application number: 64956/19,1
Application number: 3377/20,1
Application number: 5655/18,1
Application number: 66799/17,1
Application number: 58700/16,1
Application number: 2412/12,1
Application number: 43068/19,1
Application number: 28125/19,1
Application number: 7590/19,1
Application number: 3321/20,1
Application number: 58542/17,1
Application number: 77564/17,1
Application number: 24355/20,1
Application number: 83409/17,1
Application number: 28600/17,1
Application number: 83040/17,1
"Oberschlick v. Austria (no. 1), 23 May 1991, § 59, Series A no. 204",1
Application number: 5306/19,1
Application number: 54717/17,1
Application number: 33272/18,1
Application number: 66179/14,1
Application number: 38003/17,1
Application number: 3844/19,1
Application number: 680/52,1
Application number: 63859/12,1
Application number: 19285/20,1
Application number: 38002/17,1
Application number: 27637/17,1
Application number: 24472/18,1
Application number: 636/17,1
Application number: 10620/21,1
Application number: 30468/19,1
Application number: 3956/21,1
Application number: 54292/20,1
Application number: 34193/18,1
Application number: 54030/20,1
Application number: 1552/21,1
Application number: 54350/20,1
Application number: 44272/20,1
Application number: 55593/20,1
Application number: 58521/16,1
Application number: 55899/20,1
Application number: 52160/15,1
Application number: 44544/20,1
Application number: 55052/20,1
Application number: 55898/20,1
Application number: 17934/21,1
Application number: 46495/20,1
Application number: 1545/21,1
Application number: 58887/19,1
Application number: 25864/19,1
Application number: 33148/18,1
Application number: 46584/18,1
Application number: 1907/19,1
Application number: 681/12,1
Application number: 62276/16,1
Application number: 25070/20,1
Application number: 51992/19,1
Application number: 24938/20,1
Application number: 45169/20,1
Application number: 46362/19,1
Application number: 45540/20,1
Application number: 24955/20,1
Application number: 19628/18,1
Application number: 44633/19,1
Application number: 46456/19,1
Application number: 25578/20,1
Application number: 32517/20,1
Application number: 51396/19,1
Application number: 27964/20,1
Application number: 52014/18,1
Application number: 201/16,1
Application number: 58834/19,1
Application number: 30414/18,1
Application number: 30815/18,1
Application number: 16/43,1
Application number: 16/33,1
Application number: 29533/18,1
Application number: 29514/18,1
Application number: 16/42,1
Application number: 16/44,1
Application number: 16/34,1
Application number: 35962/18,1
Application number: 30166/18,1
Application number: 35/29,1
Application number: 35/24,1
Application number: 35/35,1
Application number: 29471/18,1
Application number: 44719/18,1
Application number: 44998/18,1
Application number: 16/29,1
"Atilla Taş v. Turkey, no 72/17, §§ 168 and 189, 19 January 2021",1
Application number: 29557/18,1
Application number: 25694/12,1
Application number: 43162/18,1
Application number: 4346/06,1
Application number: 2084/20,1
Application number: 17877/18,1
Application number: 1227/06,1
Application number: 6670/06,1
Application number: 6825/08,1
Application number: 32691/18,1
"Zana v. Turkey, 25 November 1997, §§ 48 49, Reports of Judgments and Decisions 1997 VII",1
Application number: 30722/12,1
Application number: 31414/10,1
Application number: 80441/17,1
Application number: 29627/10,1
Application number: 4948/08,1
"Ireland v. the United Kingdom, 18 January 1978, § 210 in fine, Series A no. 25",1
Application number: 399/10,1
Application number: 35/25,1
Application number: 59226/19,1
Application number: 1011/15,1
Application number: 57827/19,1
Application number: 46/13,1
Application number: 4736/16,1
Application number: 61558/19,1
Application number: 26813/15,1
Application number: 369/17,1
Application number: 18153/16,1
Application number: 444/14,1
Application number: 71591/17,1
Application number: 6946/75,1
"Chahal v. the United Kingdom, 15 November 1996, Reports 1996 V, p. 1855, § 79",1
"Wassink v. the Netherlands, 27 September 1990, § 38, Series A no. 185 A",1
Application number: 20454/12,1
"Ireland v. the United Kingdom, 18 January 1978, § 205, Series A no. 25",1
Application number: 2872/09,1
"Aksoy v. Turkey, 18 December 1996, § 70, Reports of Judgments and Decisions 1996 VI",1
Application number: 15027/20,1
Application number: 37151/20,1
Application number: 35043/13,1
Application number: 25103/19,1
Application number: 2950/17,1
Application number: 35/50,1
Application number: 35/18,1
Application number: 64244/19,1
Application number: 4688/19,1
Application number: 35/33,1
Application number: 35/28,1
Application number: 16/01,1
Application number: 35/16,1
Application number: 16/20,1
Application number: 12996/12,1
Application number: 35/36,1
Application number: 35/27,1
Application number: 41276/19,1
Application number: 16/39,1
Application number: 58873/19,1
Application number: 62758/19,1
Application number: 13041/19,1
Application number: 68536/12,1
Application number: 43566/19,1
Application number: 60840/19,1
Application number: 59280/10,1
Application number: 42363/18,1
Application number: 18891/20,1
Application number: 7943/20,1
Application number: 16962/20,1
Application number: 10720/20,1
Application number: 43631/20,1
Application number: 52387/19,1
Application number: 30314/18,1
Application number: 69522/17,1
Application number: 9943/18,1
Application number: 60979/19,1
Application number: 36844/20,1
Application number: 13420/18,1
Application number: 18276/17,1
Application number: 57219/15,1
Application number: 16966/19,1
Application number: 5916/20,1
Application number: 5080/21,1
Application number: 54284/20,1
Application number: 2130/20,1
Application number: 48179/20,1
Application number: 543/14,1
Application number: 4915/18,1
Application number: 77691/16,1
Application number: 5928/20,1
Application number: 20039/20,1
Application number: 35650/20,1
Application number: 53482/20,1
Application number: 41669/20,1
Application number: 48904/20,1
Application number: 5078/21,1
Application number: 46805/20,1
Application number: 51593/20,1
Application number: 46760/20,1
Application number: 46758/20,1
Application number: 595/21,1
Application number: 10036/21,1
Application number: 14240/18,1
Application number: 30718/18,1
Application number: 19886/19,1
Application number: 42900/14,1
Application number: 4377/09,1
Application number: 38722/07,1
Application number: 21718/06,1
Application number: 58081/09,1
Application number: 5306/10,1
Application number: 11050/06,1
Application number: 45235/16,1
Application number: 28843/17,1
Application number: 73556/17,1
Application number: 42438/15,1
Application number: 72660/16,1
Application number: 5513/13,1
Application number: 12252/19,1
Application number: 37974/19,1
Application number: 11213/17,1
Application number: 68434/17,1
Application number: 60667/10,1
Application number: 50749/18,1
Application number: 14478/20,1
Application number: 5256/17,1
Application number: 14336/19,1
Application number: 25093/20,1
Application number: 8038/19,1
Application number: 8627/20,1
Application number: 53322/19,1
Application number: 26167/20,1
Application number: 29640/19,1
Application number: 33681/15,1
Application number: 40632/11,1
Application number: 39818/19,1
Application number: 5490/20,1
Application number: 52941/18,1
Application number: 25099/20,1
Application number: 7632/20,1
Application number: 30194/08,1
Application number: 51976/18,1
Application number: 25058/20,1
Application number: 31989/06,1
Application number: 52648/20,1
"Kopp v. Switzerland, 25 March 1998, §§ 52 and 59, Reports of Judgments and Decisions 1998-II",1
Application number: 23878/20,1
Application number: 7593/21,1
Application number: 30764/13,1
Application number: 8509/21,1
Application number: 3177/21,1
"Stran Greek Refineries and Stratis Andreadis v. Greece, 9 December 1994, § 59, Series A no. 301 B",1
"Pérez de Rada Cavanilles v. Spain, 28 October 1998, § 43, Reports 1998 VIII",1
Application number: 81437/17,1
Application number: 4790/18,1
Application number: 495/10,1
Application number: 1645/17,1
Application number: 82504/17,1
Application number: 725/14,1
Application number: 11570/18,1
Application number: 7127/19,1
"Werner v. Austria, 24 November 1997, § 31, Reports 1997-VII, § 31",1
"Malone v. the United Kingdom, 2 August 1984, §§ 68-69 and 79, Series A no. 82",1
Application number: 43/54,1
Application number: 18057/19,1
Application number: 23423/20,1
Application number: 6495/21,1
Application number: 71805/11,1
Application number: 75089/13,1
Application number: 14206/16,1
Application number: 191/10,1
Application number: 55163/20,1
Application number: 42844/20,1
Application number: 42485/20,1
Application number: 9452/21,1
Application number: 6740/21,1
Application number: 42470/20,1
Application number: 37974/20,1
Application number: 55887/20,1
Application number: 31725/20,1
Application number: 5904/21,1
Application number: 22356/20,1
Application number: 23899/20,1
"Lambert v. France, 24 August 1998, § 21, Reports 1998-V",1
"Diennet v. France, 26 September 1995, §§ 32 and 34, Series A no. 325-A",1
Application number: 25/25,1
"Albert and Le Compte v. Belgium, 10 February 1983, § 35 in fine, Series A no. 58",1
Application number: 026/10,1
Application number: 030/12,1
Application number: 026/09,1
Application number: 088/09,1
Application number: 059/11,1
Application number: 61737/14,1
Application number: 19243/16,1
"Güzelyurtlu and Others v. Cyprus and Turkey [GC], no. 36925, § 236, 29 January 2019",1
"Castells v. Spain, 23 April 1992, §§ 47-48, Series A no 236",1
Application number: 61637/11,1
Application number: 81809/17,1
Application number: 12450/13,1
Application number: 54271/12,1
Application number: 55674/10,1
Application number: 8526/09,1
Application number: 52166/08,1
Application number: 19006/07,1
Application number: 9273/18,1
Application number: 2226/11,1
Application number: 054/16,1
Application number: 74585/17,1
Application number: 79267/17,1
Application number: 3696/16,1
Application number: 4503/16,1
"Burghartz v. Switzerland, 22 February 1994, § 28, Series A no 280 B",1
Application number: 33799/16,1
"Akdivar and Others v. Turkey, 16 September 1996, pp. 1210-1211, §§ 65-69, Reports of Judgments and Decisions 1996-IV",1
Application number: 72590/17,1
Application number: 68287/17,1
Application number: 004/18,1
"X and Y v. the Netherlands, 26 March 1985, §§ 24 and 27, Series A no. 91",1
Application number: 049/08,1
Application number: 11570/13,1
Application number: 31557/07,1
Application number: 20087/13,1
Application number: 19294/13,1
Application number: 031/14,1
Application number: 25923/15,1
Application number: 1327/16,1
Application number: 20808/10,1
Application number: 54540/17,1
Application number: 30232/18,1
Application number: 12041/18,1
Application number: 28690/18,1
Application number: 50343/18,1
Application number: 26856/20,1
Application number: 32599/18,1
Application number: 6812/18,1
Application number: 55596/18,1
Application number: 33007/18,1
Application number: 19102/20,1
Application number: 22851/20,1
Application number: 25880/18,1
Application number: 8416/18,1
Application number: 41772/17,1
Application number: 28739/18,1
Application number: 15066/17,1
Application number: 28558/18,1
Application number: 43681/17,1
Application number: 62741/17,1
Application number: 50079/18,1
Application number: 82536/17,1
Application number: 40643/18,1
Application number: 1779/19,1
Application number: 33417/18,1
Application number: 12629/18,1
Application number: 10967/19,1
Application number: 62761/17,1
Application number: 51105/18,1
Application number: 83969/17,1
Application number: 42179/18,1
Application number: 42378/18,1
Application number: 45129/17,1
Application number: 42314/17,1
Application number: 49227/17,1
Application number: 43733/17,1
Application number: 32972/18,1
Application number: 1226/18,1
Application number: 25186/18,1
Application number: 52615/18,1
Application number: 29343/20,1
Application number: 58925/18,1
Application number: 58875/18,1
Application number: 17544/18,1
Application number: 27022/18,1
Application number: 33806/18,1
Application number: 58516/17,1
Application number: 32431/18,1
Application number: 45455/18,1
Application number: 27693/20,1
Application number: 32948/18,1
Application number: 36471/18,1
Application number: 55500/18,1
Application number: 60292/17,1
Application number: 23724/20,1
Application number: 33936/20,1
Application number: 36936/20,1
Application number: 3173/07,1
"Bulut v. Austria, 22 February 1996, Reports of Judgments and Decisions 1996-II, p. 359, § 47",1
Application number: 26814/18,1
Application number: 1843/19,1
Application number: 45116/18,1
Application number: 233/19,1
Application number: 49022/18,1
Application number: 15011/17,1
Application number: 25228/18,1
Application number: 24636/18,1
Application number: 69587/17,1
Application number: 12630/18,1
Application number: 16324/18,1
Application number: 61467/17,1
Application number: 1844/19,1
Application number: 16368/18,1
Application number: 49509/17,1
Application number: 35328/18,1
Application number: 31778/20,1
Application number: 31908/18,1
Application number: 23588/20,1
Application number: 54553/17,1
Application number: 18066/17,1
Application number: 17301/17,1
Application number: 50868/16,1
Application number: 24072/20,1
Application number: 40612/16,1
Application number: 65015/16,1
Application number: 53952/16,1
Application number: 47715/16,1
Application number: 48814/15,1
"Proszak v. Poland, 16 December 1997, § 40, Reports of Judgments and Decisions 1997-VIII",1
"Scherer v. Switzerland, 25 March 1994, § 32, Series A no. 287",1
"Hornsby v. Greece, 19 March 1997, § 35, Reports of Judgments and Decisions 1997 II",1
Application number: 71777/11,1
Application number: 58144/09,1
"Castells v. Spain, 23 April 1992, §§ 42-43 and 46, Series A no. 236",1
"Margareta and Roger Andersson v. Sweden, 25 February 1992, § 75, Series A no. 226 A",1
Application number: 52801/15,1
Application number: 29558/16,1
Application number: 44477/16,1
Application number: 23330/16,1
"Stögmüller v. Austria, 10 November 1969, § 4, Series A no. 9",1
Application number: 1924/33,1
Application number: 33620/16,1
Application number: 55393/16,1
Application number: 41144/16,1
"Winterwerp v. the Netherlands, 24 October 1979, § 55, Series A no 33",1
Application number: 39463/16,1
Application number: 38642/16,1
Application number: 56487/16,1
Application number: 59115/16,1
Application number: 63832/16,1
Application number: 48507/16,1
Application number: 510/03,1
Application number: 102/16,1
Application number: 3123/14,1
Application number: 40853/16,1
Application number: 67606/10,1
Application number: 40692/16,1
Application number: 52613/15,1
Application number: 2807/16,1
Application number: 6968/17,1
"Allenet de Ribemont v. France, 10 February 1995, § 35, Series A no 308",1
Application number: 65385/16,1
Application number: 13244/17,1
Application number: 46218/16,1
Application number: 39169/07,1
Application number: 52292/19,1
Application number: 41929/18,1
Application number: 3490/11,1
Application number: 34285/19,1
Application number: 69015/17,1
Application number: 41151/09,1
Application number: 73094/10,1
Application number: 4885/19,1
Application number: 5573/19,1
Application number: 62419/17,1
Application number: 3707/18,1
Application number: 8876/19,1
Application number: 56069/19,1
Application number: 3703/18,1
Application number: 3214/20,1
Application number: 30279/09,1
