0
""
"Bijelic v. Montenegro and Serbia, no. 11890/05, 28 April 2009"
"Armoniene v. Lithuania, no. 36919/02, 25 November 2008"
"Baranowski v. Poland, no. 28358/95, ECHR 2000-III"
"Ben Salah Adraqui and Dhaime v. Spain (dec.), no 45023/98, ECHR 2000-IV"
"Chahal v. the United Kingdom, 15 November 1996, Reports of Judgments and Decisions 1996-V"
"A, B and C v. Ireland [GC], no. 25579/05, § 223, ECHR 2010-..."
"Kjeldsen, Busk Madsen and Pedersen v. Denmark, 7 December 1976, § …, Series A no. 23"
"Grandrath v. the Federal Republic of Germany, no. 2299/64, Commission report of 12 December 1966, Yearbook, vol. 10, p. 626"
"Fatgan Katani and Others v. Germany (dec.), no. 67679/01, 31 May 2001"
"Pursiheimo v. Finland (dec.), no 57795/00, 25 November 2003"
"Orchowski v. Poland, no. 17885/04, ECHR 2009-..., § 154"
"J.C. v. the United Kingdom, no. 38719/97, § 118, 10 October 2002"
"Kaya v. Turkey, judgment of 19 February 1998, § 105, Reports 1998-I"
"Artun and Güvener v. Turkey, no 75510/01, 26 June 2007"
"Håkansson and Sturesson v. Sweden, 21 February 1990, § 47, Series A no 171-A"
"Bladet Tromsø and Stensaas v. Norway [GC], no. 21980/93, §§ 59 and 62, ECHR 1999-III"
"Athanassoglou and Others v. Switzerland [GC], no. 27644/95, § 55, ECHR 2000-IV"
"Rehbock v. Slovenia, no. 29462/95, §§ 76-77, ECHR 2000-XII"
"Holub v. Czech Republic (dec.), no. 24880/05, 14 December 2010"
"Mutsayeva v. Russia, no. 24297/05, § 105, 23 July 2009"
"Peers v. Greece, no. 28524/95, §§ 68 and 74, ECHR 2001-III"
"Société Prisma Presse v. France (dec.), nos. 66910/01 and 71612/01, 1er July 2003"
"Amirov v. Azerbaijan (dec.), no 25512/06, 18 January 2011"
"Garcia Alva v. Germany, no. 23541/94, 13 February 2001"
"Mrozowski v. Poland, no. 9258/04, § 26, 12 May 2009"
"Fägerskiöld v. Sweden (dec.), no. 37664/04, 26 February 2008"
"Walczak v. Poland (dec.), no. 77395/01, 7 May 2002"
"Leander v. Sweden, 26 March 1987, § 48, Series A no 116"
"Kudla v. Poland [GC], no 30210/96, § 90, ECHR 2000-XI"
"Messina v. Italy (dec.), no. 25498/94, ECHR 1999-V"
"Soering v. the United Kingdom, 7 July 1989, § 16, Series A no. 161"
"Iordache v. Romania, no 6817/02, §§ 49 and 50, 14 October 2008"
"Larin v. Russia, no. 15034/02, 20 May 2010"
"Alberti v. Italy, no. 12013/86, Commission’s decision of 10 March 1989"
"Tomasi v. France, 27 August 1992, § 110, Series A no 241-A"
"Byrzykowski v. Poland, no. 11562/05, §§ 86 and 94-118, 27 June 2006"
"Petrina v. Romania, no. 78060/01, §§ 28 and 36, 14 October 2008"
"Schelling v. Austria, no. 55193/00, 10 November 2005"
"Paduret v. Moldova, no. 33134/03, § 77, 5 January 2010"
"Medvedyev and Others v. France [GC], no. 3394/03, § 79, ECHR 2010"
"Brumarescu v. Romania [GC], no. 28342/95, §§ 52 and 53, ECHR 1999-VII"
"Hatjianastasiou v. Greece, no. 12945/87, Commission decision of 4 April 1990"
"Europapress Holding d.o.o. v. Croatia, no. 25333/06, § 58, 22 October 2009"
"Andronicou and Constantinou v. Cyprus, judgment of 9 October 1997, Reports 1997-VI, pp. 2094-2095, § 159"
"Calogero Diana v. Italy, 15 November 1996, § 28, Reports 1996-V"
"Kreuz v. Poland, no. 28249/95, § 60, ECHR 2001-VI"
"Kopp v. Switzerland, 25 March 1998, Reports of Judgments and Decisions 1998-II"
"Grande Oriente d’Italia di Palazzo Giustiniani v. Italy (no 2), no 26740/02, § 20, 31 May 2007"
"Hachette Filipacchi Associés v. France, no. 71111/01, 14 June 2007"
"Conka v. Belgium, no 51564/99, § 39, ECHR 2002-I"
"Reyntjens v. Belgium, no 16810/90, decision of the Commission du 9 September 1992, Décision and Rapports (DR) 73, p. 136"
"Goodwin v. the United Kingdom, 27 March 1996, § 33, Reports 1996-II"
"Saadi v. the United Kingdom [GC], no 13229/03, § 64, ECHR 2008"
"Hoppe v. Germany, no. 28422/95, § 50 in fine, 5 December 2002"
"Ahmed v. Romania, no 34621/03, § 58 13 July 2010"
"Kruslin v. France, 24 April 1990, Series A no. 176-A, § 27"
"Selmouni v. France [GC], no. 25803/94, § 101, ECHR 1999-V"
"Shofman v. Russia, no. 74826/01, § 31, 24 November 2005"
"Drozd and Janousek v. France and Spain, 12 December 1989 no 12747/87, DR 64"
"Zvolský and Zvolská v. the Czech Republic, no. 46129/99, ECHR 2002-IX"
"Timciuc v. Romania (dec.), no. 28999/03, § 144, 12 October 2010"
"Ringier Axel Springer Slovakia, a.s. v. Slovakia, no. 41262/05, 26 July 2011"
"García Manibardo c. Espagne, no 38695/97, § 36, CEDH 2000-II"
"Angelova c. Bulgaria, no 38361/97, §§ 141-144, ECHR 2002-IV"
"Gama da Costa v. Portugal, no. 12659/87, decision of 5 March 1990, Decisions and Reports (DR) 65, p. 136"
"Funke v. France, 25 February 1993, Series A no. 256-A"
"Sciacca v. Italy, no. 50774/99, ECHR 2005-I"
"No. 3147/67, Dec. 7.2.68, Coll. 27, p. 119, 126"
"Grande Oriente d'Italia di Palazzo Giustiniani v. Italy (no 2), no 26740/02, § 20, 31 May 2007"
"Plattform ""Äréte für das Leben"" judgment of 21 June 1988, Series A no. 139, p. 11, para. 27"
"Carboni v. Italy (dec.), no. 51554/99, 12 February 2004"
"Gutfreund v. France, no 45681/99, ECHR 2003-VII"
"Wolf-Sorg v. Turkey, no 6458/03, § 73, 8 June 2010"
"Elia S.r.l. v. Italy (just satisfaction), no 37710/97, 22 July 2004"
"Conka v. Belgium, no. 51564/99, § 38, ECHR 2002-I"
"Lubina v. Slovakia, no. 77688/01, § 63, 19 September 2006"
"Molie v.Romania (dec.), no. 13754/02"
"Trzaskalska v. Poland, no. 34469/05, §§ 36-37, 1 December 2009"
"Reinhard v. Germany, no. 485/09, 25 March 2010"
"Hachette Filipacchi Associés (ICI PARIS) v. France, no. 12268/03, § 41, 23 July 2009"
"Maiorano and Others v. Italy, no 28634/06, 15 December 2009"
"Zagorodnikov v. Russia, no. 66941/01, § 30, 7 June 2007"
"X and Y v. the Netherlands, 26 March 1985, § 22, Series A no. 91"
"Singh v. the Czech Republic, no. 60538/00, § 74, 25 January 2005"
"Demopoulos and Others (dec.) [GC], cited above, § 69"
"Douiyeb v. the Netherlands [GC], no 31464/96, §§ 44-45, 4 August 1999"
"Matveyev v. Russia, no. 26601/02, §§ 38-39, 3 July 2008"
"Salah Sheekh v. the Netherlands, no. 1948/04, January 2007"
"Garcia Alva v. Germany, no 23541/94, § 39, 13 February 2001"
"Betayev and Betayeva v. Russia, no. 37315/03, §§ 69-70, 29 May 2008"
"Tarnopolskaya and Others v. Russia, nos. 11093/07, 14558/07, 19660/07, 30166/07, 46736/07, 52681/07, 52985/07, 10633/08, 10652/08, 12694/08, 15437/08, 16691/08, 19447/07, 19457/08, 20857/08, 20872/08, 22546/08, 25820/08, 25839/08 and 25845/08, 7 July 2009"
"Hokkanen v. Finland, 23 September 1994, § 58, Series A no. 299-A"
"Ömer Aydin v. Turkey, no 34813/02, §§ 6-32 and 51-59, 25 November 2008"
"Nikowitz and Verlagsgruppe News GmbH v. Austria, no. 5266/03, § 25, 22 February 2007"
"Iatridis c. Greece [GC], no 31107/96, § 58, ECHR 1999-II"
"Öztürk c. Allemagne, arrêt du 21 février 1984, série A no 73, pp. 20-21, § 53"
"Haydarie and Others v. the Netherlands (dec.), no. 8876/05, 20 October 2005"
"Verbint v. Romania, no. 7842/04, § 63, 3 April 2012"
"Ilowiecki v. Poland, no 27504/95, § 76, 4 October 2001"
"Bosphorus Hava Yollari Turizm ve Ticaret Anonim Sirketi v. Ireland [GC], no. 45036/98, § 153, ECHR 2005 VI"
"Société Anonyme Sotiris and Nikos Koutras Attee v. Greece, no. 39442/98, § 17, ECHR 2000-XII"
"Camenzind v. Switzerland, judgment of 16 December 1997, Reports 1997-VIII, pp. 2895-2896, § 50"
"Dogan and Others v. Turkey, nos. 8803-8811/02, 8813/02 and 8815-8819/02, §§ 111-114, ECHR 2004-VI"
"W.S. v. Poland, no. 21508/02, §§ 55 and 61, 19 June 2007"
"Bulut v. Austria, 22 February 1996, § 47, Reports of Judgments and Decisions 1996-II"
"Sträg Datatjänster AB v. Sweden (dec.), no 50664/99, 21 June 2005"
"Kafkaris v. Cyprus [GC], no. 21906/04, § 138, ECHR 2008"
"Sedelmayer v. Germany (dec.), nos. 30190/06 and 30216/06, 10 November 2009"
"Campagnano v. Italy, no. 77955/01, § 53, ECHR 2006-V"
"Reinprecht v. Austria, no. 67175/01, § 38, ECHR 2005-XII"
"Fedotov v. Russia, no. 5140/02, 25 October 2005"
"Powell and Rayner v. the United Kingdom, 21 February 1990, § 29, Series A no. 172"
"Tekin Yildiz c. Turkey, no 22913/04, § 71, 10 November 2005"
"Belkin and Others v. Russia, nos. 14330/07 et al, 5 February 2009"
"T.I. v. the United Kingdom (dec.), no. 43844/98, ECHR 2000-III"
"Kalashnikov v. Russia, no. 47095/99, §§ 95 and 100, ECHR 2002-VI"
"Price c. Royaume­Uni, no 33394/96, § 30, ECHR 2001-VII"
"Winterwerp v. the Netherlands, 24 October 1979, § 39, Series A no 33"
"Suljagic v. Bosnia and Herzegovina, no 27912/02, § 42, 3 November 2009"
"Papamichalopoulos and Others v. Greece (article 50), 31 October 1995, §§ 36 and 39, Series A no 330-B"
"Kostovski v. the Netherlands, judgment of 20 November 1989, Series A no. 166, p. 19, § 39"
"Kondyli and Others v. Greece, no 35812/07, 2 April 2009"
"Hogben v. the United Kingdom, no 11635/85, decision of the Commission de March 1986, Décisions and Rapports (DR) 46"
Deighan v. Ireland [1995] 2 IR 56
"Šidlová v. Slovakia, no. 50224/99, § 77, 26 September 2006"
"Makhmudov v. Russia, no 35082/04, §§ 63-65, 26 July 2007"
"Garabayev v. Russia, no. 38411/02, § 101, 7 June 2007"
"Micallef v. Malta [GC], no. 17056/06, § 58, ECHR 2009-..."
"Komanický v. Slovakia, no. 32106/96, § 56, 4 June 2002"
"Case “relating to certain aspects of the laws on the use of languages in education in Belgium”, judgment of 23 July 1968, Series A no. 6, §§ 3-5"
"Aksoy v. Turkey, 18 December 1996, § 95, Reports of Judgments and Decisions 1996-VI"
"Zarb Adami v. Malta, no. 17209/02, § 44, ECHR 2006 VIII"
"Magnin v. France (dec.), no 26219/08, 10 May 2012"
"Byrzykowski v. Poland, no. 11562/05, § 90, 27 June 2006"
"Dickson v. the United Kingdom [GC], no. 44362/04, ECHR 2007-V"
"Håkansson and Sturesson v. Sweden, 21 February 1990, § 66, Series A no 171-A"
"Carabulea v. Romania (no 45661/99, §§ 127-131, 13 July 2010"
"De Haes and Gijsels v. Belgium, 24 February 1997, § 37, Reports 1997-I"
"Olsson v. Sweden (no 1), 24 March 1988, Series A no 130"
"Winterwerp v. the Netherlands, judgment of 24 October 1979, Series A no. 33, p. 16"
"Benthem judgment of 23 October 1985, Series A no. 97"
"Broniowski v. Poland [GC], no. 31443/96, §§ 189-94, ECHR 2004-V"
"Aparicio Benito v. Spain (dec.), no 36150/03, 3 November 2006"
"Givezov v. Bulgaria, no. 15154/02, §§ 38-39, 22 May 2008"
"Informationsverein Lentia and Others v. Austria, 24 November 1993, § 35, Series A no. 276"
"Oleksiy Mykhaylovych Zakharkin v. Ukraine, no. 1727/04, 24 June 2010"
"Ahmet Sadik v. Greece, 15 November 1996, §§ 24-26, Reports of Judgments and Decisions 1996-V"
"Umlauft v. Austria, 23 October 1995, § 37, Series A no. 328-B"
"Çiçek v. Turkey (dec.), no 67124/01, 18 January 2005"
"Lindon, Otchakovsky-Laurens and July v. France [GC], nos. 21279/02 and 36448/02, § 45, ECHR 2007-IV"
"Khudobin v. Russia, no. 59696/00, ECHR 2006 ... (extracts)"
"Association « E. Apostolopoulos and K. Lymperopoulos » c. Greece, no 24133/05, § 32, 24 April 2008"
"Nivette v. France (dec.), no. 44190/98, ECHR 2001-VII"
"Conka v. Belgium, no 51564/99, §§ 81-83, ECHR 2002-I"
"Hertel v. Switzerland, 25 August 1998, Reports of Judgments and Decisions 1998-VI"
"Dimakos v. Romania, no 10675/03, § 46, 6 July 2010"
"David v. Moldova, no. 41578/05, § 39, 27 November 2007"
"Elsholz v. Germany [GC], no. 25735/94, § 64, ECHR 2000-VIII"
"D. v. the United Kingdom, 2 May 1997, § 59, Reports 1997-III"
"Lessing and Reichelt v. Germany (dec.) nos. 49646/10 and 3365/11, 16 October 2012"
"Kaya v. Turkey, 19 February 1998, § 87, Reports 1998-I"
"Maslov v. Austria [GC], no. 1638/03, § 100, ECHR 2008"
"Hood v. the United Kingdom [GC], no. 27267/95, §§ 88-89, ECHR 1999-I"
"Christian Democratic People’s Party v. Moldova (no. 2), no. 25196/04, 2 February 2010"
"Chalkley v. the United Kingdom (dec), no. 63831/00, 26 September 2002"
"Sürmeli v. Germany [GC], no. 75529/01, §§ 100-101, ECHR 2006-VII"
"Teltronic-CATV v. Poland, no. 48140/99, § 45, 10 January 2006"
"British Broadcasting Corporation v. the United Kingdom, no. 25794/94, Commission decision of 18 January 1996"
"Harkmann v. Estonia (dec.), no. 2192/03, 1 March 2005"
"Jalloh v. Germany [GC], no 54810/00, ECHR 2006-IX, 11 July 2006"
"König v. Germany, 28 June 1978, § 98, Series A no. 27"
"Wildgruber v. Germany, nos. 42402/05 and 42423/05, § 61, 21 January 2010"
"Dink v. Turkey, nos. 2668/07, 6102/08, 30079/08, 7072/09 and 7124/09, § 114, 14 September 2010"
"Steck-Risch and Others v. Liechtenstein (dec.), no 29061/08, 11 May 2010"
"Asch judgment of 26 April 1991, Series A no. 203, p. 10, para. 26"
"Timishev v. Russia, nos. 55762/00 and 55974/00, ECHR 2005-..."
"Egmez v. Cyprus, no. 30873/96, § 78, ECHR 2000-XII"
"Szuluk v. the United Kingdom, no. 36936/05, § 43, ECHR 2009"
"Cistiakov v. Latvia, no. 67275/01, § 46-51, 8 February 2007"
"Kovalkovs v. Latvia (dec.), no. 35021/05, § 47, 31 January 2012"
"Komanický v. Slovakia (dec.), no. 13677/03, 1 March 2005"
"Mürsel Eren v. Turkey, no. 60856/00, ECHR 2006-II"
"Karakó v. Hungary, no. 39311/05, § 14, 28 April 2009"
"Dumitru Popescu v. Romania (no 2), no 71525/01, 26 April 2007"
"Editions Périscope v. France, 26 March 1992, § 40, Series A no. 234-B"
"Spinov v. Ukraine, no. 34331/03, 27 November 2008"
"Mata Estevez v. Spain (dec.), no. 56501/00, ECHR 2001-VI"
"Iglesias Gil and A.U.I. v. Spain, no. 56673/00, § 49, ECHR 2003-V"
"Cuprakovs v. Latvia, no. 8543/04, 18 December 2012"
"McGlinchey and Others v. the United Kingdom, no. 50390/99, §§ 47-58, ECHR 2003-V"
"Kokkinakis v. Greece, 25 May 1993, § 40, Series A no. 260-A"
"Burden v. the United Kingdom [GC], no 13378/05, § 58, ECHR 2008-..."
"Kolompar v. Belgium, 24 September 1992, § 42, Series A no. 235-C"
"Robins v. the United Kingdom, 23 September 1997, § 29, Reports of Judgments and Decisions 1997-V"
"Tabesh v. Greece, no 8256/07, §§ 28 à 30, 26 November 2009"
"Smatana v. the Czech Republic, no. 18642/04, § 122, 27 September 2007"
"Ekbatani v. Sweden, 26 May 1988, Series A no. 134"
"Perry c. Royaume-Uni, no. 63737/00, ECHR 2003-IX"
"Burg and Others v. France (dec.), no 34763/02, ECHR 2003-II"
"Appel-Irrgang and Others v. Germany (dec.), no. 45216/07, 6 October 2009"
"Freedom and Democracy Party (ÖZDEP) v. Turkey, no. 23885/94, ECHR 1999-VIII"
"Berková v. Slovakia, no. 67149/01, § 175, 24 March 2009"
"Pannullo and Forte v. France, no. 37794/97, §§ 35-36, ECHR 2001-X"
"Wemhoff v. Germany, 27 June 1968, § 10, Series A no 7"
"Karhuvaara and Iltalehti v. Finland, no. 53678/00, ECHR 2004-X"
"Rigopoulos v. Spain, (dec.), no 37388/97, ECHR 1999-II"
"Pedersen and Baadsgaard v. Denmark, no 49017/99, ECHR 2004-XI"
"Dzieciak v. Poland, no. 77766/01, 9 December 2008"
"Lelas v. Croatia, no. 55555/08, § 74, 20 May 2010"
"Plattform « Ärzte für das Leben » v. Austria, 21 June 1988, § 32, Series A no 139"
"McMichael c. the United Kingdom, judgment du 24 February 1995, Series A no 307 B, § 86"
"No. 9285/81, Dec. 6.7.82, D.R. 29 p. 205"
"Messina v. Italy (no. 2), no. 25498/94, § 61, ECHR 2000-X"
"No. 4429/70, Dec. 1.2.71, Coll. 37 p. 109"
"Oya Ataman v. Turkey, no 74552/01, ECHR 2006-XIII"
"Guiso-Gallisay v. Italy [GC], no 58858/00, § 90, 22 December 2009"
"Kovacic and Others v. Slovenia [GC], nos. 44574/98, 45133/98 and 48316/99, § 265, 3 October 2008"
"Söderbäck v. Sweden, 28 October 1998, Reports 1998-VII"
"Lukenda v. Slovenia, no 23032/02, ECHR 2005-X"
"Bochev v. Bulgaria, no. 73481/01, § 70, 13 November 2008"
"Norbert Sikorski v. Poland, no 17599/05, § 116, 22 October 2009"
"Suljagic v. Bosnia and Herzegovina, no. 27912/02, § 61"
"Aleksanyan v. Russia, no 46468/06, §§ 239-240, 22 December 2008"
"Nogolica v. Croatia ((dec.)), no. 77784/01, ECHR 2002-VIII"
"Zarb Adami v. Malta, no. 17209/02, § 76, ECHR 2006-VIII"
"Amuur v. France, judgment of 25 June 1996, § 41, Reports 1996-III"
"Abdulaziz, Cabales and Balkandali judgment 28 May 1985, Series A no. 94, p. 33 para. 67"
"Foglia v. Switzerland, no 35865/04, § 95, 13 December 2007"
"Raspoptsis v. Greece, no 1262/05, §§ 12 and 19, 27 September 2007"
"Abbasov v. Azerbaijan, no. 24271/05, 17 January 2008"
"Brumarescu v. Romania [GC], no. 28342/95, § 74, ECHR 1999-VII"
"Maslova and Nalbandov v. Russia, no. 839/02, §§ 106-08, ECHR 2008-... (extracts)"
"Bottazzi v. Italy [GC], no. 34884/97, ECHR 1999-V"
"Ilowiecki v. Poland, no. 27504/95, 4 October 2001"
"Nogolica v. Croatia (dec.), no. 77784/01, ECHR 2002-VIII)"
"Lamanna v. Austria, no. 28923/95, 10 July 2001"
"Radio France et autres c. France, no 53984/00, § 20, CEDH 2004-II"
"Eugenia Lazar v. Romania, no. 32146/05, § 90, 16 February 2010"
"Starokadomskiy v. Russia, no. 42239/02, § 80, 31 July 2008"
"Tonchev v. Bulgaria (dec.), no. 18527/02, 14 October 2008"
"Demopoulos and Others v. Turkey (dec.) [GC], nos. 46113/99, 3843/02, 13751/02, 13466/03, 10200/04, 14163/04, 19993/04 and 21819/04, ECHR 2010"
"Karademirci and Others v. Turkey, nos. 37096/97 and 37101/97, § 40, ECHR 2005-I"
"McCann and Others v. the United Kingdom, judgment of 27 September 1995, Series A no 324"
"Karakó v. Hungary, no. 39311/05, 28 April 2009"
"Iatridis v. Greece (just satisfaction) [GC], no 31107/96, § 54, ECHR 2000-XI"
"Erdogan v. Turkey, no. 19807/92, Commission decision of 16 January 1996, DR 84-A, p. 5"
"Tinnelly & Sons Ltd and Others and McElduff and Others v. the United Kingdom, 10 July 1998, § 76, Reports 1998-IV"
"Burdov v. Russia, no. 59498/00, § 35, ECHR 2002-III, § 35"
"Petrenco v. Moldova, no. 20928/05, 30 March 2010"
"Salduz v. Turkey ([GC] no. 36391/02, §§ 27-31, 27 November 2008)"
"Šoc v. Croatia, no. 47863/99, §§ 93-94, 9 May 2003"
"Kozacioglu c. Turkey [GC], no 2334/03, § 64, ECHR 2009-..."
"Aerts v. Belgium, 30 July 1998, § 46, Reports of Judgments and Decisions 1998-V"
"Štetiar and Šutek v. Slovakia, nos. 20271/06 and 17517/07, §§ 71-75, 23 November 2010"
"Van Mechelen and Others v. the Netherlands, 23 April 1997, § 50, Reports 1997-III"
"Gutu v. Moldova, no. 20289/02, § 65, 7 June 2007"
"McKerr v. the United Kingdom, no 28883/95, § 111, ECHR 2001-III"
"Arat v. Turkey, no. 10309/03, § 43, 10 November 2009"
"Fretté v. France, no. 36515/97, § 31, ECHR 2002 I"
"Rotaru v. Romania [GC], no. 28341/95, § 52, ECHR 2000-V"
"Neulinger and Shuruk v. Switzerland [GC], no. 41615/07, §§ 131-140, 145 and 148, 6 July 2010"
"No. 13258/87, Dec. 9.2.90"
"Guzzardi v. Italy, 6 November 1980, § 72, Series A no 39"
"Chauvy and Others v. France, no 64915/01, § 70 in fine, ECHR 2004-VI"
"Witold Litwa c. Poland, no 26629/95, §§ 57-59, ECHR 2000-III"
"Kucheruk v. Ukraine, no. 2570/04, § 162, ECHR 2007 X"
"D. v. the United Kingdom, 2 May 1997, § 59, Reports of Judgments and Decisions 1997-III, and F.H. v. Sweden, no. 32621/06, § 72, 20 January 2009"
"Hilal v. the United Kingdom, no. 45276/99, § 59, ECHR 2001-II"
"Constantin Oprea v. Romania, no 24724/03, 8 November 2007"
"P., C. and S. v. the United Kingdom, no. 56547/00, § 118, ECHR 2002-VI"
"Elia S.r.l. v. Italy, no. 37710/97, ECHR 2001-IX"
"Bähnk v. Germany, no. 10732/05, 9 October 2008"
"Dyundin v. Russia, no. 37406/03, § 26, 14 October 2008"
"Egmez v. Cyprus, no. 30873/96, § 65, ECHR 2000-XII"
"Sanchez-Reisse v. Switzerland, 21 October 1986, §§ 51 and 55, Series A no. 107"
"Pullar v. the United Kingdom, judgment of 10 June 1996, Reports 1996-III, § 45"
"Delcourt v. Belgium, judgment of 17 January 1970, Series A no. 11, pp. 13-15"
"C.R. v. the United Kingdom, 22 November 1995, §§ 35 à 44, Series A no 335-C"
"Lisica v. Croatia, no. 20100/06, 25 February 2010"
"Kudeshkina v. Russia, no 29492/05, § 94, 26 February 2009"
"Open Door and Dublin Well Woman v. Ireland, 29 October 1992, § 69, Series A no. 246 A"
"Kandzhov v. Bulgaria, no. 68294/01, § 65, 6 November 2008"
"Çakici v. Turkey [GC], no. 23657/94, § 1, ECHR 1999-IV"
"Jabari v. Turkey, no 40035/98, § 50, ECHR 2000-VIII"
"Bernard v. France, judgment of 23 April 1998, no. 22885/93, § 37, ECHR 1998-II"
"Liberty and Others v. the United Kingdom, no. 58243/00, §§ 62-63, 1 July 2008"
"Tourancheau and July v. France, no 53886/00, § 54, 24 November 2005"
"Montion v. France, no. 11192/84, Commission decision of 14 May 1987, Decisions and Reports (DR) 52, p. 235"
"X. v. the United Kingdom, no. 7730/76, Commission decision of 28 February 1979, D.R. 15, p. 137"
"Baranowski v. Poland, no. 28358/95, § 50, ECHR 2000 III"
"Neumeister v. Austria (27 June 1968, § 4, Series A no. 8"
"Fedotov v. Russia, no. 5140/02, § 74, 25 October 2005"
"Sunday Times v. the United Kingdom (no. 1), 26 April 1979, Series A no. 30"
"Fuentes Bobo v. Spain, no 39293/98, § 46, 29 February 2000"
"Antropov v. Russia, no. 22107/03, § 55, 29 January 2009"
"Paul and Audrey Edwards v. the United Kingdom, no 46477/99, ECHR 2002-III"
"Papuc v. Romania, no 44476/04, § 35, 27 May 2010"
"Jordan v. The United Kingdom (dec.), no. 30280/96, 14 January 1998"
"Böhmer v. Germany, no. 37568/97, § 54, 3 October 2002"
"D and E.S. v. United Kingdom, no. 13669/88, Commission decision of 7 March 1990, Decisions and Reports (DR) 65, p. 245"
"Yasa v. Turkey, judgment of 2 September 1998, Reports 1998-VI, p. 2439, §§ 102-104"
"Kolomiyets v. Russia, no. 76835/01, § 29, 22 February 2007"
"Glass v. the United Kingdom, no. 61827/00, § 71, ECHR 2004-II"
"Kamburov v. Bulgaria (dec.), no. 14336/05, § 55 in fine, 6 January 2011"
"Eur. Court H.R. Eckle judgment of 15 July 1982, Series A no. 51, p. 31 para. 67"
"Karni v. Sweden, no. 11540/85, Commission decision of 8 March 1988, Decisions and Reports 55, p. 157"
"Stavebná spolocnost TATRY Poprad, s.r.o. v. Slovakia (no. 7261/06, 3 May 2011"
"Willcox and Hurford v. the United Kingdom (dec.), nos. 43759/10 and 43771/12, 8 January 2013"
"Baumann v. France, no. 33592/96, § 47, 22 May 2001"
"Fáber v. the Czech Republic, no. 35883/02, §§ 55-56, 17 May 2005"
"John c. Allemagne (déc.), no 15073/03, 13 février"
"Mikheyev v. Russia, no. 77617/01, § 127, 26 January 2006"
"Silver and Others v. the United Kingdom, 25 March 1983, §§ 86-87, Series A no. 61"
"Cisse v. France, no. 51346/99, § 50, ECHR 2002-III"
"Dzhaksybergenov v. Ukraine, no. 12343/10, § 37, 10 February 2011"
"Ilijkov v. Bulgaria, no. 33977/96, §§ 111-18, 26 July 2001"
"Walker v. the United Kingdom (dec.), no. 34979/97, 25 January 2000"
"Vogt v. Germany, no 17851/91, 26 September 1996"
"Zavrel v. the Czech Republic, no 14044/05, § 24, 18 January 2007"
"Nicoletti v. Italy (dec.), no 31332/96, 10 April 1997"
"Petrea v. Romania, no 4792/03, 29 April 2008"
"Leoncio Calcerrada Fornieles and Luis Cabeza Mato v. Spain, no. 17512/90, Commission decision of 6 July 1992, Decisions and Reports (DR) No. 73, p. 214"
"Connors v. the United Kingdom, no. 66746/01, 27 May 2004"
"“Blondje” v. the Netherlands (dec.), no. 7245/09, 15 September 2009"
"Letellier v. France, 26 June 1991, § 39, Series A no. 207"
"Eckle v. Germany, 15 July 1982, Series A no. 51"
"Keser and Kömürcü c. Turkey, no 5981/03, § 70, 23 June 2009"
"Lingens v. Austria, 8 July 1986, § 46, Series A no. 103"
"Maumousseau and Washington v. France, no. 39388/05, § 62, 6 December 2007"
"Ergi v. Turkey, 28 July 1998, § 83, Reports 1998-IV"
"Beraza Oroquieta (dec.), no. 26000/10, 25 September 2012"
"Atanasova v. Bulgaria, no. 72001/01, § 52, 2 October 2008"
"Rokhlina v. Russia, no. 54071/00, §§ 63 et seq., 7 April 2005"
"Cherepkov v. Russia (dec.), no. 51501/99, ECHR 2000-I"
"AGOSI v. the United Kingdom, no. 9118/80, § 54, 24 October 1986"
"Beleš and Others v. the Czech Republic, no. 47273/99, § 49, ECHR 2002-IX"
"No. 11960/86, Dec"
"Vermeire v. Belgium, 29 November 1991, Series A no 214-C"
"Bordikov v. Russia, no 921/03, 8 October 2009"
"Belousov v. Russia, no. 1748/02, 2 October 2008"
"Gütl v. Austria, no. 49686/99, 12 March 2009"
"Obermeier v. Austria, 28 June 1990, § 70, Series A no. 179"
"Campbell and Cosans v. the United Kingdom, 25 February 1982, § 37, Series A no. 48"
"Guerra and Others v. Italy, 19 February 1998, § 74, Reports of Judgments and Decisions 1998-I"
"Dalia c. France, 19 février 1998, § 38, Recueil des arrêts et décisions 1998-I"
"Ahmed v. Austria, judgment of 17 December 1996, Reports of Judgments and Decisions 1996-VI, p. 2206, § 38"
"Çiçek v. Turkey, no. 25704/94, 27 February 2001"
"Kalashnikov v. Russia (dec.), no 47095/99, 18 September 2001"
"Guincho, cited above, §§ 39-41"
"Ždanoka v. Latvia (dec.), no. 58278/00, 6 March 2003"
"Bove v. Italy, no 30595/02, § 50, 30 June 2005"
"Aliev v. Ukraine, no. 41220/98, 29 April 2003"
"Avdeyev and Veryayev v. Russia, no. 2737/04, 9 July 2009"
"Lingens judgment of 8 July 1986, Series A no. 103, pp. 25-26, paras. 39-41"
"Partija Jaunie Demokrati and Partija Musu Zeme v. Latvia (dec.), nos. 10547/07 and 34049/07, 29 November 2007"
"Hirst v. the United Kingdom (no. 2) [GC], no. 74025/01, § 69, ECHR 2005-IX"
"Jecius v. Lithuania, no 34578/97, ECHR 2000-IX"
"Timurtas v. Turkey, no 23531/94, ECHR 2000-VI"
"Stallinger and Kuso v. Austria, 23 April 1997, Reports 1997-II"
"Constantinescu v. Romania, no. 28871/95, ECHR 2000-VIII"
